"ID","Length","Symbol"
"ENSG00000007216",3226,"SLC13A2"
"ENSG00000007237",10100,"GAS7"
"ENSG00000007255",933,"TRAPPC6A"
"ENSG00000007264",4141,"MATK"
"ENSG00000007306",2649,"CEACAM7"
"ENSG00000007312",2080,"CD79B"
"ENSG00000007314",8243,"SCN4A"
"ENSG00000007341",8111,"ST7L"
"ENSG00000007350",3650,"TKTL1"
"ENSG00000007372",20812,"PAX6"
"ENSG00000007376",2769,"RPUSD1"
"ENSG00000007384",4914,"RHBDF1"
"ENSG00000007392",6176,"LUC7L"
"ENSG00000007402",6322,"CACNA2D2"
"ENSG00000007516",6146,"BAIAP3"
"ENSG00000007520",1243,"TSR3"
"ENSG00000007541",7904,"PIGQ"
"ENSG00000007545",8373,"CRAMP1"
"ENSG00000007866",3046,"TEAD3"
"ENSG00000007908",4585,"SELE"
"ENSG00000007923",5083,"DNAJC11"
"ENSG00000007933",3463,"FMO3"
"ENSG00000007944",3033,"MYLIP"
"ENSG00000007952",2529,"NOX1"
"ENSG00000007968",5457,"E2F2"
"ENSG00000008018",2256,"PSMB1"
"ENSG00000008056",3822,"SYN1"
"ENSG00000008083",6015,"JARID2"
"ENSG00000008086",17075,"CDKL5"
"ENSG00000008118",2676,"CAMK1G"
"ENSG00000008128",4701,"CDK11A"
"ENSG00000008130",5570,"NADK"
"ENSG00000008196",6149,"TFAP2B"
"ENSG00000008197",1856,"TFAP2D"
"ENSG00000008226",8338,"DLEC1"
"ENSG00000008256",5808,"CYTH3"
"ENSG00000008277",12199,"ADAM22"
"ENSG00000008282",2804,"SYPL1"
"ENSG00000008283",5320,"CYB561"
"ENSG00000008294",11963,"SPAG9"
"ENSG00000008300",13873,"CELSR3"
"ENSG00000008311",4591,"AASS"
"ENSG00000008323",4260,"PLEKHG6"
"ENSG00000008324",1298,"SS18L2"
"ENSG00000008382",2049,"MPND"
"ENSG00000008394",7440,"MGST1"
"ENSG00000008405",5062,"CRY1"
"ENSG00000008438",720,"PGLYRP1"
"ENSG00000008441",6302,"NFIX"
"ENSG00000008513",8729,"ST3GAL1"
"ENSG00000008516",4126,"MMP25"
"ENSG00000008517",3209,"IL32"
"ENSG00000008710",18532,"PKD1"
"ENSG00000008735",5901,"MAPK8IP2"
"ENSG00000008838",6962,"MED24"
"ENSG00000008853",6580,"RHOBTB2"
"ENSG00000008869",8206,"HEATR5B"
"ENSG00000008952",7928,"SEC62"
"ENSG00000008988",3002,"RPS20"
"ENSG00000009307",5778,"CSDE1"
"ENSG00000009335",9220,"UBE3C"
"ENSG00000009413",12425,"REV3L"
"ENSG00000009694",12896,"TENM1"
"ENSG00000009709",6313,"PAX7"
"ENSG00000009724",4251,"MASP2"
"ENSG00000009765",10362,"IYD"
"ENSG00000009780",4034,"FAM76A"
"ENSG00000009790",7750,"TRAF3IP3"
"ENSG00000009830",10008,"POMT2"
"ENSG00000009844",7262,"VTA1"
"ENSG00000009950",4815,"MLXIPL"
"ENSG00000009954",7053,"BAZ1B"
"ENSG00000010017",3347,"RANBP9"
"ENSG00000010030",2374,"ETV7"
"ENSG00000010072",5906,"SPRTN"
"ENSG00000010165",3827,"METTL13"
"ENSG00000010219",7054,"DYRK4"
"ENSG00000010244",15834,"ZNF207"
"ENSG00000010256",3236,"UQCRC1"
"ENSG00000010270",4348,"STARD3NL"
"ENSG00000010278",3299,"CD9"
"ENSG00000010282",2891,"HHATL"
"ENSG00000010292",6487,"NCAPD2"
"ENSG00000010295",5203,"IFFO1"
"ENSG00000010310",4736,"GIPR"
"ENSG00000010318",3367,"PHF7"
"ENSG00000010319",5011,"SEMA3G"
"ENSG00000010322",9161,"NISCH"
"ENSG00000010327",10588,"STAB1"
"ENSG00000010361",2950,"FUZ"
"ENSG00000010379",4243,"SLC6A13"
"ENSG00000010404",9292,"IDS"
"ENSG00000010438",1664,"PRSS3"
"ENSG00000010539",7498,"ZNF200"
"ENSG00000010610",4583,"CD4"
"ENSG00000010626",3054,"LRRC23"
"ENSG00000010671",4575,"BTK"
"ENSG00000010704",5675,"HFE"
"ENSG00000010803",4447,"SCMH1"
"ENSG00000010810",7411,"FYN"
"ENSG00000010818",10682,"HIVEP2"
"ENSG00000010932",3602,"FMO1"
"ENSG00000011007",5391,"ELOA"
"ENSG00000011009",2196,"LYPLA2"
"ENSG00000011021",6938,"CLCN6"
"ENSG00000011028",6860,"MRC2"
"ENSG00000011052",1241,"NME1-NME2"
"ENSG00000011083",4391,"SLC6A7"
"ENSG00000011105",6905,"TSPAN9"
"ENSG00000011114",11333,"BTBD7"
"ENSG00000011132",5556,"APBA3"
"ENSG00000011143",4078,"MKS1"
"ENSG00000011198",3172,"ABHD5"
"ENSG00000011201",7131,"ANOS1"
"ENSG00000011243",5081,"AKAP8L"
"ENSG00000011258",7201,"MBTD1"
"ENSG00000011260",2721,"UTP18"
"ENSG00000011275",7619,"RNF216"
"ENSG00000011295",5966,"TTC19"
"ENSG00000011304",6883,"PTBP1"
"ENSG00000011332",4800,"DPF1"
"ENSG00000011347",5953,"SYT7"
"ENSG00000011376",5393,"LARS2"
"ENSG00000011405",9204,"PIK3C2A"
"ENSG00000011422",4457,"PLAUR"
"ENSG00000011426",6012,"ANLN"
"ENSG00000011451",7965,"WIZ"
"ENSG00000011454",9162,"RABGAP1"
"ENSG00000011465",12847,"DCN"
"ENSG00000011478",2396,"QPCTL"
"ENSG00000011485",7059,"PPP5C"
"ENSG00000011523",8623,"CEP68"
"ENSG00000011566",6067,"MAP4K3"
"ENSG00000011590",2770,"ZBTB32"
"ENSG00000011600",907,"TYROBP"
"ENSG00000011638",2558,"TMEM159"
"ENSG00000011677",4193,"GABRA3"
"ENSG00000012048",8922,"BRCA1"
"ENSG00000012061",5576,"ERCC1"
"ENSG00000012124",6159,"CD22"
"ENSG00000012171",5768,"SEMA3B"
"ENSG00000012174",8927,"MBTPS2"
"ENSG00000012211",3194,"PRICKLE3"
"ENSG00000012223",4247,"LTF"
"ENSG00000012232",13220,"EXTL3"
"ENSG00000012504",3460,"NR1H4"
"ENSG00000012660",3813,"ELOVL5"
"ENSG00000012779",3730,"ALOX5"
"ENSG00000012817",9463,"KDM5D"
"ENSG00000012822",8898,"CALCOCO1"
"ENSG00000012963",3694,"UBR7"
"ENSG00000012983",7620,"MAP4K5"
"ENSG00000013016",4636,"EHD3"
"ENSG00000013275",2387,"PSMC4"
"ENSG00000013288",8898,"MAN2B2"
"ENSG00000013293",10459,"SLC7A14"
"ENSG00000013297",6032,"CLDN11"
"ENSG00000013306",3526,"SLC25A39"
"ENSG00000013364",6141,"MVP"
"ENSG00000013374",5411,"NUB1"
"ENSG00000013375",7335,"PGM3"
"ENSG00000013392",3744,"RWDD2A"
"ENSG00000013441",5170,"CLK1"
"ENSG00000013503",4858,"POLR3B"
"ENSG00000013523",6414,"ANGEL1"
"ENSG00000013561",4987,"RNF14"
"ENSG00000013563",4130,"DNASE1L1"
"ENSG00000013573",8374,"DDX11"
"ENSG00000013583",3442,"HEBP1"
"ENSG00000013588",8440,"GPRC5A"
"ENSG00000013619",5958,"MAMLD1"
"ENSG00000013725",5958,"CD6"
"ENSG00000013810",6528,"TACC3"
"ENSG00000014123",4539,"UFL1"
"ENSG00000014138",5726,"POLA2"
"ENSG00000014164",3731,"ZC3H3"
"ENSG00000014216",7553,"CAPN1"
"ENSG00000014257",4193,"ACPP"
"ENSG00000014641",4990,"MDH1"
"ENSG00000014824",7225,"SLC30A9"
"ENSG00000014914",4562,"MTMR11"
"ENSG00000014919",4177,"COX15"
"ENSG00000015133",12426,"CCDC88C"
"ENSG00000015153",10839,"YAF2"
"ENSG00000015171",5300,"ZMYND11"
"ENSG00000015285",2381,"WAS"
"ENSG00000015413",2737,"DPEP1"
"ENSG00000015475",4446,"BID"
"ENSG00000015479",12090,"MATR3"
"ENSG00000015520",5252,"NPC1L1"
"ENSG00000015532",5472,"XYLT2"
"ENSG00000015568",14175,"RGPD5"
"ENSG00000015592",3294,"STMN4"
"ENSG00000015676",10113,"NUDCD3"
"ENSG00000016082",2882,"ISL1"
"ENSG00000016391",7758,"CHDH"
"ENSG00000016402",4730,"IL20RA"
"ENSG00000016490",3340,"CLCA1"
"ENSG00000016602",3447,"CLCA4"
"ENSG00000016864",3783,"GLT8D1"
"ENSG00000017260",8533,"ATP2C1"
"ENSG00000017427",8087,"IGF1"
"ENSG00000017483",4014,"SLC38A5"
"ENSG00000017797",8043,"RALBP1"
"ENSG00000018189",8070,"RUFY3"
"ENSG00000018236",7492,"CNTN1"
"ENSG00000018280",8676,"SLC11A1"
"ENSG00000018408",8413,"WWTR1"
"ENSG00000018510",8745,"AGPS"
"ENSG00000018607",1774,"ZNF806"
"ENSG00000018610",2580,"CXorf56"
"ENSG00000018625",6298,"ATP1A2"
"ENSG00000018699",3185,"TTC27"
"ENSG00000018869",3350,"ZNF582"
"ENSG00000019102",1432,"VSIG2"
"ENSG00000019144",21722,"PHLDB1"
"ENSG00000019169",2079,"MARCO"
"ENSG00000019186",3972,"CYP24A1"
"ENSG00000019485",13940,"PRDM11"
"ENSG00000019505",5424,"SYT13"
"ENSG00000019549",2204,"SNAI2"
"ENSG00000019582",3184,"CD74"
"ENSG00000019991",8897,"HGF"
"ENSG00000019995",5993,"ZRANB1"
"ENSG00000020129",4917,"NCDN"
"ENSG00000020181",7061,"ADGRA2"
"ENSG00000020219",1674,"CCT8L1P"
"ENSG00000020256",6997,"ZFP64"
"ENSG00000020426",3865,"MNAT1"
"ENSG00000020577",12170,"SAMD4A"
"ENSG00000020633",4523,"RUNX3"
"ENSG00000020922",7689,"MRE11"
"ENSG00000021300",4933,"PLEKHB1"
"ENSG00000021355",3094,"SERPINB1"
"ENSG00000021461",2637,"CYP3A43"
"ENSG00000021488",2597,"SLC7A9"
"ENSG00000021574",5213,"SPAST"
"ENSG00000021645",15535,"NRXN3"
"ENSG00000021762",7466,"OSBPL5"
"ENSG00000021776",13528,"AQR"
"ENSG00000021826",10444,"CPS1"
"ENSG00000021852",2729,"C8B"
"ENSG00000022267",5997,"FHL1"
"ENSG00000022277",4063,"RTFDC1"
"ENSG00000022355",6935,"GABRA1"
"ENSG00000022556",6313,"NLRP2"
"ENSG00000022567",8608,"SLC45A4"
"ENSG00000022840",5911,"RNF10"
"ENSG00000022976",5590,"ZNF839"
"ENSG00000023041",3748,"ZDHHC6"
"ENSG00000023171",14408,"GRAMD1B"
"ENSG00000023191",7374,"RNH1"
"ENSG00000023228",12268,"NDUFS1"
"ENSG00000023287",7615,"RB1CC1"
"ENSG00000023318",4854,"ERP44"
"ENSG00000023330",2536,"ALAS1"
"ENSG00000023445",7518,"BIRC3"
"ENSG00000023516",9920,"AKAP11"
"ENSG00000023572",1299,"GLRX2"
"ENSG00000023608",2656,"SNAPC1"
"ENSG00000023697",2844,"DERA"
"ENSG00000023734",2211,"STRAP"
"ENSG00000023839",6232,"ABCC2"
"ENSG00000023892",2545,"DEF6"
"ENSG00000023902",6565,"PLEKHO1"
"ENSG00000023909",5420,"GCLM"
"ENSG00000024048",8840,"UBR2"
"ENSG00000024422",3923,"EHD2"
"ENSG00000024526",5904,"DEPDC1"
"ENSG00000024862",1507,"CCDC28A"
"ENSG00000025039",5072,"RRAGD"
"ENSG00000025156",2702,"HSF2"
"ENSG00000025293",8383,"PHF20"
"ENSG00000025423",2272,"HSD17B6"
"ENSG00000025434",4533,"NR1H3"
"ENSG00000025708",3320,"TYMP"
"ENSG00000025770",3159,"NCAPH2"
"ENSG00000025772",2062,"TOMM34"
"ENSG00000025796",8587,"SEC63"
"ENSG00000025800",7480,"KPNA6"
"ENSG00000026025",5158,"VIM"
"ENSG00000026036",8738,"RTEL1-TNFRSF6B"
"ENSG00000026103",4253,"FAS"
"ENSG00000026297",7643,"RNASET2"
"ENSG00000026508",10057,"CD44"
"ENSG00000026559",5437,"KCNG1"
"ENSG00000026652",8769,"AGPAT4"
"ENSG00000026751",4833,"SLAMF7"
"ENSG00000026950",5547,"BTN3A1"
"ENSG00000027001",3407,"MIPEP"
"ENSG00000027075",8833,"PRKCH"
"ENSG00000027644",5101,"INSRR"
"ENSG00000027697",2571,"IFNGR1"
"ENSG00000027847",4927,"B4GALT7"
"ENSG00000027869",2512,"SH2D2A"
"ENSG00000028116",3509,"VRK2"
"ENSG00000028137",3766,"TNFRSF1B"
"ENSG00000028203",8757,"VEZT"
"ENSG00000028277",9072,"POU2F2"
"ENSG00000028310",9572,"BRD9"
"ENSG00000028528",9780,"SNX1"
"ENSG00000028839",5039,"TBPL1"
"ENSG00000029153",6983,"ARNTL2"
"ENSG00000029363",9533,"BCLAF1"
"ENSG00000029364",7136,"SLC39A9"
"ENSG00000029534",10799,"ANK1"
"ENSG00000029559",1546,"IBSP"
"ENSG00000029639",2736,"TFB1M"
"ENSG00000029725",6531,"RABEP1"
"ENSG00000029993",3967,"HMGB3"
"ENSG00000030066",8576,"NUP160"
"ENSG00000030110",2212,"BAK1"
"ENSG00000030304",4246,"MUSK"
"ENSG00000030419",12240,"IKZF2"
"ENSG00000030582",3680,"GRN"
"ENSG00000031003",6808,"FAM13B"
"ENSG00000031081",9384,"ARHGAP31"
"ENSG00000031691",1733,"CENPQ"
"ENSG00000031698",3836,"SARS"
"ENSG00000031823",7445,"RANBP3"
"ENSG00000032219",7568,"ARID4A"
"ENSG00000032389",5775,"EIPR1"
"ENSG00000032444",7055,"PNPLA6"
"ENSG00000032742",6111,"IFT88"
"ENSG00000033011",4496,"ALG1"
"ENSG00000033030",9124,"ZCCHC8"
"ENSG00000033050",4448,"ABCF2"
"ENSG00000033100",4205,"CHPF2"
"ENSG00000033122",14652,"LRRC7"
"ENSG00000033170",6700,"FUT8"
"ENSG00000033178",11432,"UBA6"
"ENSG00000033327",6771,"GAB2"
"ENSG00000033627",10955,"ATP6V0A1"
"ENSG00000033800",10776,"PIAS1"
"ENSG00000033867",9616,"SLC4A7"
"ENSG00000034053",6869,"APBA2"
"ENSG00000034152",3783,"MAP2K3"
"ENSG00000034239",5805,"EFCAB1"
"ENSG00000034510",496,"TMSB10"
"ENSG00000034533",3427,"ASTE1"
"ENSG00000034677",6031,"RNF19A"
"ENSG00000034693",2222,"PEX3"
"ENSG00000034713",3034,"GABARAPL2"
"ENSG00000034971",2099,"MYOC"
"ENSG00000035115",11165,"SH3YL1"
"ENSG00000035141",3086,"FAM136A"
"ENSG00000035403",9992,"VCL"
"ENSG00000035499",3806,"DEPDC1B"
"ENSG00000035664",13612,"DAPK2"
"ENSG00000035681",6165,"NSMAF"
"ENSG00000035687",3666,"ADSS"
"ENSG00000035720",1655,"STAP1"
"ENSG00000035862",5633,"TIMP2"
"ENSG00000035928",6719,"RFC1"
"ENSG00000036054",5168,"TBC1D23"
"ENSG00000036257",11505,"CUL3"
"ENSG00000036448",7062,"MYOM2"
"ENSG00000036473",1585,"OTC"
"ENSG00000036530",9352,"CYP46A1"
"ENSG00000036549",9008,"ZZZ3"
"ENSG00000036565",3910,"SLC18A1"
"ENSG00000036672",4538,"USP2"
"ENSG00000036828",10625,"CASR"
"ENSG00000037042",2772,"TUBG2"
"ENSG00000037241",1164,"RPL26L1"
"ENSG00000037280",8852,"FLT4"
"ENSG00000037474",5506,"NSUN2"
"ENSG00000037637",8984,"FBXO42"
"ENSG00000037749",4792,"MFAP3"
"ENSG00000037757",3456,"MRI1"
"ENSG00000037897",2621,"METTL1"
"ENSG00000037965",1889,"HOXC8"
"ENSG00000038002",2675,"AGA"
"ENSG00000038210",3540,"PI4K2B"
"ENSG00000038219",15860,"BOD1L1"
"ENSG00000038274",5153,"MAT2B"
"ENSG00000038295",7522,"TLL1"
"ENSG00000038358",6173,"EDC4"
"ENSG00000038382",17500,"TRIO"
"ENSG00000038427",14831,"VCAN"
"ENSG00000038532",12387,"CLEC16A"
"ENSG00000038945",7812,"MSR1"
"ENSG00000039068",6177,"CDH1"
"ENSG00000039123",6578,"SKIV2L2"
"ENSG00000039139",16475,"DNAH5"
"ENSG00000039319",11461,"ZFYVE16"
"ENSG00000039523",6729,"RIPOR1"
"ENSG00000039537",4739,"C6"
"ENSG00000039560",7687,"RAI14"
"ENSG00000039600",3471,"SOX30"
"ENSG00000039650",4635,"PNKP"
"ENSG00000039987",2646,"BEST2"
"ENSG00000040199",12493,"PHLPP2"
"ENSG00000040275",4777,"SPDL1"
"ENSG00000040341",8998,"STAU2"
"ENSG00000040487",2686,"PQLC2"
"ENSG00000040531",3398,"CTNS"
"ENSG00000040608",3339,"RTN4R"
"ENSG00000040633",2783,"PHF23"
"ENSG00000040731",3660,"CDH10"
"ENSG00000040933",13187,"INPP4A"
"ENSG00000041353",7432,"RAB27B"
"ENSG00000041357",6996,"PSMA4"
"ENSG00000041515",9209,"MYO16"
"ENSG00000041802",4818,"LSG1"
"ENSG00000041880",2928,"PARP3"
"ENSG00000041982",9636,"TNC"
"ENSG00000041988",4072,"THAP3"
"ENSG00000042062",6009,"RIPOR3"
"ENSG00000042088",6227,"TDP1"
"ENSG00000042286",5135,"AIFM2"
"ENSG00000042304",3486,"C2orf83"
"ENSG00000042317",6872,"SPATA7"
"ENSG00000042429",16610,"MED17"
"ENSG00000042445",4005,"RETSAT"
"ENSG00000042493",2607,"CAPG"
"ENSG00000042753",1704,"AP2S1"
"ENSG00000042781",20506,"USH2A"
"ENSG00000042813",2643,"ZPBP"
"ENSG00000042832",11132,"TG"
"ENSG00000042980",9351,"ADAM28"
"ENSG00000043039",3660,"BARX2"
"ENSG00000043093",8412,"DCUN1D1"
"ENSG00000043143",9877,"JADE2"
"ENSG00000043355",3310,"ZIC2"
"ENSG00000043462",7244,"LCP2"
"ENSG00000043514",2663,"TRIT1"
"ENSG00000043591",2853,"ADRB1"
"ENSG00000044012",597,"GUCA2B"
"ENSG00000044090",5628,"CUL7"
"ENSG00000044115",8830,"CTNNA1"
"ENSG00000044446",9029,"PHKA2"
"ENSG00000044459",11064,"CNTLN"
"ENSG00000044524",6674,"EPHA3"
"ENSG00000044574",3908,"HSPA5"
"ENSG00000046604",6190,"DSG2"
"ENSG00000046647",2424,"GEMIN8"
"ENSG00000046651",5172,"OFD1"
"ENSG00000046653",5675,"GPM6B"
"ENSG00000046774",1991,"MAGEC2"
"ENSG00000046889",12058,"PREX2"
"ENSG00000047056",5656,"WDR37"
"ENSG00000047188",10816,"YTHDC2"
"ENSG00000047230",5510,"CTPS2"
"ENSG00000047249",5090,"ATP6V1H"
"ENSG00000047315",5901,"POLR2B"
"ENSG00000047346",9832,"FAM214A"
"ENSG00000047365",12428,"ARAP2"
"ENSG00000047410",12350,"TPR"
"ENSG00000047457",7296,"CP"
"ENSG00000047578",9784,"KIAA0556"
"ENSG00000047579",3052,"DTNBP1"
"ENSG00000047597",5206,"XK"
"ENSG00000047617",6255,"ANO2"
"ENSG00000047621",4939,"C12orf4"
"ENSG00000047634",5497,"SCML1"
"ENSG00000047644",7114,"WWC3"
"ENSG00000047648",7885,"ARHGAP6"
"ENSG00000047662",6622,"FAM184B"
"ENSG00000047849",14943,"MAP4"
"ENSG00000047932",4628,"GOPC"
"ENSG00000047936",7856,"ROS1"
"ENSG00000048028",5719,"USP28"
"ENSG00000048052",16827,"HDAC9"
"ENSG00000048140",5215,"TSPAN17"
"ENSG00000048162",2862,"NOP16"
"ENSG00000048342",7606,"CC2D2A"
"ENSG00000048392",5548,"RRM2B"
"ENSG00000048405",5793,"ZNF800"
"ENSG00000048462",1118,"TNFRSF17"
"ENSG00000048471",11298,"SNX29"
"ENSG00000048540",10268,"LMO3"
"ENSG00000048544",2110,"MRPS10"
"ENSG00000048545",2341,"GUCA1A"
"ENSG00000048649",15740,"RSF1"
"ENSG00000048707",20023,"VPS13D"
"ENSG00000048740",10978,"CELF2"
"ENSG00000048828",7204,"FAM120A"
"ENSG00000048991",7898,"R3HDM1"
"ENSG00000049089",4151,"COL9A2"
"ENSG00000049130",6030,"KITLG"
"ENSG00000049167",4847,"ERCC8"
"ENSG00000049192",8567,"ADAMTS6"
"ENSG00000049239",9321,"H6PD"
"ENSG00000049245",2760,"VAMP3"
"ENSG00000049246",8099,"PER3"
"ENSG00000049247",1791,"UTS2"
"ENSG00000049249",6331,"TNFRSF9"
"ENSG00000049283",4642,"EPN3"
"ENSG00000049323",7329,"LTBP1"
"ENSG00000049449",7225,"RCN1"
"ENSG00000049540",6542,"ELN"
"ENSG00000049541",2211,"RFC2"
"ENSG00000049618",44058,"ARID1B"
"ENSG00000049656",6557,"CLPTM1L"
